Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
Mistral 7B,Fp8 Per Tensor,3,0.7966,0.6186,0.7076,4.8033,26.2047,5.15,7
Mistral 7B,Full Model,1,0.8141,0.6054,0.7098,2.3843,12.4458,4.79,13.5
Mistral 7B,Full Model,2,0.8091,0.6078,0.7085,2.5638,12.7932,4.79,13.5
Mistral 7B,Full Model,3,0.7977,0.634,0.7159,2.3644,12.5806,4.79,13.5
Mistral 7B,Int2 Batch16,1,0.463,0.3046,0.3838,29.6332,33.2642,5.27,3.38
Mistral 7B,Int2 Batch16,2,0.4639,0.3071,0.3855,29.2645,33.0286,5.29,3.38
Mistral 7B,Int2 Batch16,3,0.4628,0.3088,0.3858,28.5992,33.5315,5.33,3.38
Mistral 7B,Int4,1,0.8004,0.5689,0.6846,4.8512,25.0326,5.27,3.9
Mistral 7B,Int4,2,0.7904,0.576,0.6832,5.0717,24.9082,5.29,3.9
Mistral 7B,Int4,3,0.7825,0.5994,0.691,4.7307,24.0036,5.3,3.9
Mistral 7B,Int8,1,0.8163,0.6035,0.7099,4.8302,26.3428,5.17,7.28
Mistral 7B,Int8,2,0.8098,0.599,0.7044,5.2456,27.5455,5.12,7.28
Mistral 7B,Int8,3,0.7975,0.628,0.7127,4.7525,26.1558,5.15,7.28
Mistral 7B,Int8 A8W8,1,0.8188,0.6085,0.7136,5.1876,28.2824,5.32,7.28
Mistral 7B,Int8 A8W8,2,0.8109,0.6055,0.7082,5.5118,29.3233,5.35,7.28
Mistral 7B,Int8 A8W8,3,0.7923,0.6092,0.7007,5.1378,28.9726,5.35,7.28
Mistral 7B,4bit K-Means,1,0.5098,0.4415,0.4757,9.3976,25.3777,5.3,3.75
Mistral 7B,4bit K-Means,2,0.5083,0.4414,0.4749,8.7485,25.294,5.26,3.75
Mistral 7B,4bit K-Means,3,0.5007,0.4457,0.4732,9.8519,24.1518,5.29,3.75
Mistral 7B,Nf4,1,0.8064,0.5815,0.694,4.5659,25.2738,5.27,3.98
Mistral 7B,Nf4,2,0.808,0.6013,0.7046,4.8341,25.3971,5.24,3.98
Mistral 7B,Nf4,3,0.7848,0.6002,0.6925,4.4818,25.0699,5.26,3.98
Mistral 7B,4bit Static GPTQ,1,0.8154,0.578,0.6967,4.802,24.7384,5.3,4.03
